country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,source,new_hospital_occupancy_Count,new_icu_occupancy_Count
Czechia,CZ,CZE,10649800,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national weekly data",1.07044263742042,0.159627410843396
Netherlands,NL,NLD,17282163,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national daily data",0.086794691150639,
Cyprus,CY,CYP,875899,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national daily data",0.11416841439481,
Romania,RO,ROU,19414458,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national weekly data",,
Netherlands,NL,NLD,17282163,2020-W25,2020-06-14,2020-06-20,,,0.0347178764602556
Latvia,LV,LVA,1919968,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national weekly data",0.208336805613427,0.0
United Kingdom,UK,GBR,66647112,2020-W25,2020-06-14,2020-06-20,,3.91314780451402,
Sweden,SE,SWE,10230185,2020-W25,2020-06-14,2020-06-20,,,0.723349577744684
Greece,EL,GRC,10724599,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national weekly data",,0.0186487159100308
Croatia,HR,HRV,4076246,2020-W25,2020-06-14,2020-06-20,,0.147194256676364,
Ireland,IE,IRL,4904240,2020-W25,2020-06-14,2020-06-20,,0.387419865259449,0.285467269138541
Slovenia,SI,SVN,2080908,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national weekly data",0.0,
Spain,ES,ESP,46937060,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national weekly data",0.466582269958962,0.0362187150196455
Belgium,BE,BEL,11455519,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national weekly data",1.06498884947945,
Estonia,EE,EST,1324820,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national daily data",0.377409761326067,
France,FR,FRA,67012883,2020-W25,2020-06-14,2020-06-20,,,0.114903279120225
Ireland,IE,IRL,4904240,2020-W24,2020-06-07,2020-06-13,,0.611715576725446,0.142733634569271
Spain,ES,ESP,46937060,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national weekly data",0.485756883792892,0.0319576897232166
Netherlands,NL,NLD,17282163,2020-W24,2020-06-07,2020-06-13,,,0.0578631274337593
Cyprus,CY,CYP,875899,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national daily data",0.11416841439481,
United Kingdom,UK,GBR,66647112,2020-W24,2020-06-07,2020-06-13,,4.50882252782386,
Czechia,CZ,CZE,10649800,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national weekly data",0.854476140397003,0.169017258540067
France,FR,FRA,67012883,2020-W24,2020-06-07,2020-06-13,,,0.186531297273093
Croatia,HR,HRV,4076246,2020-W24,2020-06-07,2020-06-13,,0.0735971283381818,
Sweden,SE,SWE,10230185,2020-W24,2020-06-07,2020-06-13,,,0.889524480740084
Portugal,PT,PRT,10276617,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national daily data",1.09958364703093,
Estonia,EE,EST,1324820,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national daily data",0.603855618121707,
Netherlands,NL,NLD,17282163,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national daily data",0.138871505841022,
Estonia,EE,EST,1324820,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national weekly data",,0.0
Slovenia,SI,SVN,2080908,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national weekly data",0.096111889617417,
Greece,EL,GRC,10724599,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national weekly data",,0.0745948636401231
Belgium,BE,BEL,11455519,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national weekly data",1.2483066022587,
Germany,DE,DEU,83019213,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national daily data",0.328839542239457,
Denmark,DK,DNK,5806081,2020-W24,2020-06-07,2020-06-13,,0.32724310942269,
Latvia,LV,LVA,1919968,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national weekly data",0.15625260421007,0.0
Romania,RO,ROU,19414458,2020-W24,2020-06-07,2020-06-13,"TESSy COVID-19, national weekly data",,
Denmark,DK,DNK,5806081,2020-W23,2020-05-31,2020-06-06,,0.585592932651129,
Germany,DE,DEU,83019213,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national daily data",0.269817060299042,
Netherlands,NL,NLD,17282163,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national daily data",0.190948320531406,
United Kingdom,UK,GBR,66647112,2020-W23,2020-05-31,2020-06-06,,5.63265216953437,
France,FR,FRA,67012883,2020-W23,2020-05-31,2020-06-06,,,0.192500298785832
Belgium,BE,BEL,11455519,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national weekly data",1.57129502382214,
Latvia,LV,LVA,1919968,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national weekly data",0.15625260421007,0.104168402806713
Cyprus,CY,CYP,875899,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national daily data",0.11416841439481,
Sweden,SE,SWE,10230185,2020-W23,2020-05-31,2020-06-06,,,1.20232429814319
Greece,EL,GRC,10724599,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national weekly data",,0.0279730738650461
Croatia,HR,HRV,4076246,2020-W23,2020-05-31,2020-06-06,,0.0,
Spain,ES,ESP,46937060,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national weekly data",0.668980971539334,0.0426102529642888
Czechia,CZ,CZE,10649800,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national weekly data",0.938984769667036,0.187796953933407
Estonia,EE,EST,1324820,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national daily data",0.301927809060854,
Portugal,PT,PRT,10276617,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national daily data",1.10931447576571,
Netherlands,NL,NLD,17282163,2020-W23,2020-05-31,2020-06-06,,,0.127298880354271
Estonia,EE,EST,1324820,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national weekly data",,0.0
Slovenia,SI,SVN,2080908,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national weekly data",0.0,
Romania,RO,ROU,19414458,2020-W23,2020-05-31,2020-06-06,"TESSy COVID-19, national weekly data",,
Ireland,IE,IRL,4904240,2020-W23,2020-05-31,2020-06-06,,0.550544019052901,0.0611715576725446
Netherlands,NL,NLD,17282163,2020-W22,2020-05-24,2020-05-30,,,0.0983673166373908
France,FR,FRA,67012883,2020-W22,2020-05-24,2020-05-30,,,0.337248585469752
Estonia,EE,EST,1324820,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national daily data",0.603855618121707,
Estonia,EE,EST,1324820,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national weekly data",,0.0754819522652134
Czechia,CZ,CZE,10649800,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national weekly data",1.18312080978047,0.2535258878101
Spain,ES,ESP,46937060,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national weekly data",0.841552496044703,0.053262816205361
United Kingdom,UK,GBR,66647112,2020-W22,2020-05-24,2020-05-30,,6.63494616240836,
Latvia,LV,LVA,1919968,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national weekly data",0.208336805613427,0.0520842014033567
Romania,RO,ROU,19414458,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national weekly data",,
Netherlands,NL,NLD,17282163,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national daily data",0.324033513629052,
Sweden,SE,SWE,10230185,2020-W22,2020-05-24,2020-05-30,,,1.19254930384934
Denmark,DK,DNK,5806081,2020-W22,2020-05-24,2020-05-30,,0.843942755879568,
Portugal,PT,PRT,10276617,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national daily data",1.46935513895283,
Cyprus,CY,CYP,875899,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national daily data",0.11416841439481,
Greece,EL,GRC,10724599,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national weekly data",,0.0186487159100308
Croatia,HR,HRV,4076246,2020-W22,2020-05-24,2020-05-30,,0.0245323761127273,
Germany,DE,DEU,83019213,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national daily data",0.35654397253802,
Slovenia,SI,SVN,2080908,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national weekly data",0.0,
Ireland,IE,IRL,4904240,2020-W22,2020-05-24,2020-05-30,,1.08069751888162,0.305857788362723
Belgium,BE,BEL,11455519,2020-W22,2020-05-24,2020-05-30,"TESSy COVID-19, national weekly data",2.13870711575792,
Latvia,LV,LVA,1919968,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",0.416673611226854,0.0
Croatia,HR,HRV,4076246,2020-W21,2020-05-17,2020-05-23,,0.367985641690909,
Romania,RO,ROU,19414458,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",,
Netherlands,NL,NLD,17282163,2020-W21,2020-05-17,2020-05-23,,,0.133085193097646
Germany,DE,DEU,83019213,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national daily data",0.434839101642652,
